feature,importance
mfcc_3,0.0675062888300166
mfcc_2,0.061345679658694016
mfcc_7,0.05337250515783158
mfcc_5,0.052336858387338106
spectral_contrast_1,0.0517468969687587
mfcc_8,0.043361280823316854
mfcc_4,0.0392063194679452
rms_energy,0.03887760631714864
mfcc_13,0.03858918429313726
mfcc_12,0.03784134427350059
mfcc_10,0.037598571504815124
mfcc_9,0.036564717443849946
mfcc_11,0.03479274126271135
spectral_contrast_2,0.03024390940263629
chroma_1,0.030216015849747715
mfcc_6,0.0286471624124102
spectral_flatness,0.028125956057404828
spectral_contrast_3,0.027126129400032242
spectral_bandwidth,0.026548028660201548
pitch_mean,0.025985556585766387
chroma_2,0.025963900661212704
spectral_rolloff,0.02378134463941274
pitch_std,0.022935145060602482
mfcc_1,0.021521446809976162
chroma_5,0.02113996275468273
chroma_4,0.020637123114644076
chroma_6,0.01975400555611622
chroma_3,0.01956488267486332
spectral_centroid,0.019445731115739977
zero_crossing_rate,0.015223704855486388
